student_id,total_score_a,total_score_b,grade
1,97.9,98,A
2,83.9,100,B
3,100,93.7,A
4,100,81.1,A
5,92,76.6,A
6,97.5,61.7,A
7,100,69.9,A
8,96.1,100,A
9,69.8,100,C
10,80.3,71.4,B
11,66.4,58.7,C
12,72.5,100,B
13,95.2,100,A
14,60.9,81.5,C
15,52.1,99.8,D
16,73.5,70.3,B
17,63,88.4,C
18,100,100,A
19,75.4,34.4,B
20,57.9,81.7,C
21,100,66.9,A
22,79,100,B
23,76.3,100,B
24,58.7,92.9,C
25,68.3,83.7,C
26,97.2,100,A
27,68.4,99,C
28,100,100,A
29,63.6,82.7,C
30,89.2,100,A
31,77.4,74.5,B
32,100,98.3,A
33,82.6,76,B
34,71.9,87.2,B
35,97.4,71,A
36,61.6,84.1,C
37,99.5,93.2,A
38,50.1,100,D
39,56.7,100,C
40,84,63.7,B
41,100,85.6,A
42,100,79.9,A
43,63.6,59.4,C
44,100,83.2,A
45,55.9,90.3,C
46,89.6,100,A
47,78.7,89.6,B
48,90.3,49.3,A
49,71,86.4,B
50,51.1,100,D
51,82.7,100,B
52,91,66.1,A
53,92.7,36,A
54,100,100,A
55,100,100,A
56,100,74.3,A
57,76.9,98.5,B
58,91.9,48.9,A
59,89.5,98,A
60,100,95.4,A
61,71.2,100,B
62,81.9,65.7,B
63,67.1,98.1,C
64,69.9,87.8,C
65,96.5,82.1,A
66,100,59.2,A
67,80.4,99.2,B
68,92.2,55.2,A
69,83.6,92.1,B
70,78.8,89.2,B
71,93.2,76.8,A
72,100,100,A
73,84.5,71.1,B
74,100,92.4,A
75,47.4,76.7,D
76,97.5,100,A
77,90.8,72.6,A
78,87.7,100,A
79,91.7,91,A
80,54.6,90.2,D
81,81,100,B
82,79.5,100,B
83,100,100,A
84,62.3,79.5,C
85,64.9,100,C
86,93.3,100,A
87,100,53.1,A
88,98.4,52.5,A
89,69.2,73.7,C
90,93.9,81.5,A
91,100,94.6,A
92,100,100,A
93,79.7,75.4,B
94,86.6,100,A
95,72,89.3,B
96,73.6,100,B
97,67.3,61.6,C
98,73.1,82.2,B
99,100,97.3,A
100,63.9,100,C
101,72.9,78.6,B
102,73.4,56,B
103,68.1,95.2,C
104,86.1,88.4,A
105,83,55.3,B
106,77.7,67.7,B
107,100,68.7,A
108,93.6,68.5,A
109,100,43.8,A
110,100,100,A
111,43.5,98.1,D
112,93.8,88.6,A
113,78.9,83.7,B
114,100,94.6,A
115,84.2,65,B
116,100,84.3,A
117,100,98.4,A
118,73.2,66.5,B
119,100,73.6,A
120,95.4,100,A
121,92.1,100,A
122,76.7,76.5,B
123,100,97.6,A
124,74.1,86.9,B
125,74.2,100,B
126,100,90.3,A
127,74,71,B
128,72.6,100,B
129,74.8,88,B
130,54.7,73,D
131,50.6,81.2,D
132,86.8,89.9,A
133,92.6,99.2,A
134,97.3,81.8,A
135,70.6,100,B
136,100,100,A
137,81.9,100,B
138,78.7,87.7,B
139,100,100,A
140,54.8,74.9,D
141,95,84.8,A
142,100,100,A
143,58.2,88.6,C
144,87.9,59.1,A
145,86.2,78.5,A
146,86.1,64.9,A
147,58.9,82.8,C
148,62.3,61.1,C
149,100,64.3,A
150,83.5,92.1,B
151,90.2,100,A
152,94.4,71.3,A
153,85.4,100,A
154,100,92.3,A
155,100,100,A
156,92.4,64.5,A
157,100,94.7,A
158,79.6,47.3,B
159,54.8,98.6,D
160,93.2,78.6,A
161,72,100,B
162,95.8,73.3,A
163,100,66.7,A
164,75.8,100,B
165,97.4,73,A
166,100,92.9,A
167,100,56.5,A
168,100,94.3,A
169,72.2,50.1,B
170,72.9,100,B
171,63.2,98.9,C
172,66.2,82.1,C
173,75.6,93.1,B
174,100,78,A
175,75.5,83.3,B
176,89.5,62.8,A
177,89.2,69,A
178,100,90.5,A
179,92.9,73.6,A
180,100,92.5,A
181,100,85.3,A
182,84.7,100,B
183,80.1,74.7,B
184,100,90.1,A
185,75.9,100,B
186,100,89.9,A
187,96.5,99.2,A
188,97.2,88.1,A
189,58.2,79.4,C
190,52.2,100,D
191,70.1,74.6,B
192,100,76.9,A
193,89,73.1,A
194,44.1,81.2,D
195,80.5,99.9,B
196,92.5,100,A
197,65.4,100,C
198,93.9,100,A
199,99.8,63.4,A
200,53.2,100,D
201,85.9,100,A
202,100,96.4,A
203,100,95,A
204,99.4,100,A
205,63,100,C
206,70.2,100,B
207,90.5,100,A
208,83.7,97.8,B
209,98.1,82.7,A
210,100,66.6,A
211,95.5,100,A
212,100,84.1,A
213,100,100,A
214,90.2,93.7,A
215,87.9,72.7,A
216,100,100,A
217,83,50,B
218,97.4,100,A
219,70.6,100,B
220,83.7,90,B
221,100,83,A
222,46.4,100,D
223,100,74.2,A
224,63.1,67.9,C
225,87.4,100,A
226,100,100,A
227,65.7,81.8,C
228,54.2,99.7,D
229,69.5,100,C
230,100,80,A
231,79,56.7,B
232,100,100,A
233,81.5,100,B
234,85.8,100,A
235,100,81,A
236,100,100,A
237,53,72.1,D
238,96,82.1,A
239,81.2,96.4,B
240,100,100,A
241,55,100,C
242,81.5,100,B
243,72.7,95,B
244,100,81.9,A
245,55.6,71.2,C
246,91.1,55.4,A
247,80,75.4,B
248,71.4,83.2,B
249,100,64.5,A
250,89.5,96.1,A
251,74.7,99.8,B
252,100,100,A
253,100,99.2,A
254,94.1,91.2,A
255,38.9,78.1,F
256,69.5,86.3,C
257,100,69.8,A
258,60.4,97.5,C
259,98.1,89,A
260,100,66.1,A
261,77.7,100,B
262,81.2,94.1,B
263,57.8,85.3,C
264,63.8,96.2,C
265,69.4,79.1,C
266,68.7,84.7,C
267,100,100,A
268,57.2,87,C
269,69.3,89.5,C
270,83.5,88,B
271,100,98.2,A
272,69.7,86,C
273,100,79.7,A
274,90.1,73.3,A
275,78.1,62.8,B
276,100,76.9,A
277,76.2,91,B
278,69.6,85.3,C
279,77.6,89.2,B
280,82.4,95.8,B
281,89.1,99.2,A
282,100,92.2,A
283,100,68.9,A
284,43.9,89.3,D
285,100,65.7,A
286,54.5,72.2,D
287,62.1,81.6,C
288,100,75.6,A
289,85.6,61.6,A
290,80.8,87.4,B
291,92.4,99,A
292,71.6,100,B
293,74.5,74,B
294,87.5,92.7,A
295,89.9,70,A
296,80.4,68.7,B
297,94.9,66.2,A
298,92.6,99.3,A
299,95.8,57,A
300,100,84.5,A
301,62.9,83.3,C
302,81.1,86.7,B
303,100,100,A
304,100,90.4,A
305,87.6,58.2,A
306,88.1,86.5,A
307,100,54.6,A
308,77.1,100,B
309,80,75.4,B
310,100,92.4,A
311,90.6,80.8,A
312,95.9,86.4,A
313,99.6,82.4,A
314,100,100,A
315,100,72.2,A
316,82.2,100,B
317,100,100,A
318,79.8,96.7,B
319,94.6,86.2,A
320,84.1,98.2,B
321,85.3,43.2,A
322,87.2,84.4,A
323,80.3,84.6,B
324,100,97,A
325,71.6,65.1,B
326,75.5,86.1,B
327,98.6,100,A
328,100,100,A
329,100,67,A
330,97.9,93.7,A
331,90.5,77.6,A
332,41.3,44.8,D
333,93.3,63.7,A
334,81.3,100,B
335,100,80.1,A
336,97.8,88.8,A
337,56.7,93,C
338,81.2,100,B
339,99.9,100,A
340,94.6,100,A
341,72.9,82.6,B
342,80.6,100,B
343,97,61.4,A
344,89.4,100,A
345,79.7,64.5,B
346,100,100,A
347,59,61.4,C
348,56.9,91.4,C
349,79.9,73.1,B
350,91.5,89.3,A
351,100,60.6,A
352,100,84.3,A
353,87.3,98.6,A
354,87.4,71.6,A
355,88.3,73.2,A
356,68.8,100,C
357,94.7,86.6,A
358,76.4,64.5,B
359,100,71.9,A
360,72.1,93.5,B
