student_id,total_score_a,total_score_b,grade
1,97.9,97.9,A
2,83.9,83.9,B
3,100,100,A
4,100,100,A
5,92,92,A
6,97.5,97.5,A
7,100,100,A
8,96.1,96.1,A
9,69.8,69.8,C
10,80.3,80.3,B
11,66.4,66.4,C
12,72.5,72.5,B
13,95.2,95.2,A
14,60.9,60.9,C
15,52.1,52.1,D
16,73.5,73.5,B
17,63,63,C
18,100,100,A
19,75.4,75.4,B
20,57.9,57.9,C
21,100,100,A
22,79,79,B
23,76.3,76.3,B
24,58.7,58.7,C
25,68.3,68.3,C
26,97.2,97.2,A
27,68.4,68.4,C
28,100,100,A
29,63.6,63.6,C
30,89.2,89.2,A
31,77.4,77.4,B
32,100,100,A
33,82.6,82.6,B
34,71.9,71.9,B
35,97.4,97.4,A
36,61.6,61.6,C
37,99.5,99.5,A
38,50.1,50.1,D
39,56.7,56.7,C
40,84,84,B
41,100,100,A
42,100,100,A
43,63.6,63.6,C
44,100,100,A
45,55.9,55.9,C
46,89.6,89.6,A
47,78.7,78.7,B
48,90.3,90.3,A
49,71,71,B
50,51.1,51.1,D
51,82.7,82.7,B
52,91,91,A
53,92.7,92.7,A
54,100,100,A
55,100,100,A
56,100,100,A
57,76.9,76.9,B
58,91.9,91.9,A
59,89.5,89.5,A
60,100,100,A
61,71.2,71.2,B
62,81.9,81.9,B
63,67.1,67.1,C
64,69.9,69.9,C
65,96.5,96.5,A
66,100,100,A
67,80.4,80.4,B
68,92.2,92.2,A
69,83.6,83.6,B
70,78.8,78.8,B
71,93.2,93.2,A
72,100,100,A
73,84.5,84.5,B
74,100,100,A
75,47.4,47.4,D
76,97.5,97.5,A
77,90.8,90.8,A
78,87.7,87.7,A
79,91.7,91.7,A
80,54.6,54.6,D
81,81,81,B
82,79.5,79.5,B
83,100,100,A
84,62.3,62.3,C
85,64.9,64.9,C
86,93.3,93.3,A
87,100,100,A
88,98.4,98.4,A
89,69.2,69.2,C
90,93.9,93.9,A
91,100,100,A
92,100,100,A
93,79.7,79.7,B
94,86.6,86.6,A
95,72,72,B
96,73.6,73.6,B
97,67.3,67.3,C
98,73.1,73.1,B
99,100,100,A
100,63.9,63.9,C
101,72.9,72.9,B
102,73.4,73.4,B
103,68.1,68.1,C
104,86.1,86.1,A
105,83,83,B
106,77.7,77.7,B
107,100,100,A
108,93.6,93.6,A
109,100,100,A
110,100,100,A
111,43.5,43.5,D
112,93.8,93.8,A
113,78.9,78.9,B
114,100,100,A
115,84.2,84.2,B
116,100,100,A
117,100,100,A
118,73.2,73.2,B
119,100,100,A
120,95.4,95.4,A
121,92.1,92.1,A
122,76.7,76.7,B
123,100,100,A
124,74.1,74.1,B
125,74.2,74.2,B
126,100,100,A
127,74,74,B
128,72.6,72.6,B
129,74.8,74.8,B
130,54.7,54.7,D
131,50.6,50.6,D
132,86.8,86.8,A
133,92.6,92.6,A
134,97.3,97.3,A
135,70.6,70.6,B
136,100,100,A
137,81.9,81.9,B
138,78.7,78.7,B
139,100,100,A
140,54.8,54.8,D
141,95,95,A
