weekly_self_study_hours,attendance_percentage,total_score,class
18.5,95.6,97.9,A
14,80,83.9,A
19.5,86.3,100,A
25.7,70.2,100,A
13.4,81.9,92,A
13.4,65.1,97.5,A
26.1,81.8,100,A
20.4,100,96.1,A
11.7,100,69.8,A
18.8,67.6,80.3,A
11.8,82.3,66.4,A
11.7,75.9,72.5,A
16.7,77.9,95.2,A
1.6,92.1,60.9,A
2.9,90.7,52.1,A
11.1,87.4,73.5,A
7.9,85.9,63,A
17.2,74,100,A
8.6,100,75.4,A
5.1,91.4,57.9,A
25.3,89.3,100,A
13.4,93.5,79,A
15.5,100,76.3,A
5,74.2,58.7,A
11.2,96.1,68.3,A
15.8,81.1,97.2,A
6.9,73.6,68.4,A
17.6,83.9,100,A
10.8,86.2,63.6,A
13,75,89.2,A
10.8,76.6,77.4,A
28,89.2,100,A
14.9,68.4,82.6,A
7.6,93,71.9,A
20.8,85.2,97.4,A
6.5,86.4,61.6,A
16.5,86.8,99.5,A
1.3,92.9,50.1,A
5.7,93.4,56.7,A
16.4,76.5,84,A
20.2,85.6,100,A
16.2,84.2,100,A
14.2,76.5,63.6,A
12.9,78.7,100,A
4.7,100,55.9,A
10,83.4,89.6,A
11.8,89.5,78.7,A
22.4,85.9,90.3,A
17.4,79.9,71,A
2.7,77.5,51.1,A
17.3,93.8,82.7,A
12.3,84.6,91,A
10.3,90.3,92.7,A
19.3,77.7,100,A
22.2,80.2,100,A
21.5,84.1,100,A
9.1,81.4,76.9,A
12.8,83.7,91.9,A
17.3,99,89.5,A
21.8,94.7,100,A
11.6,80.9,71.2,A
13.7,89.6,81.9,A
7.3,68.3,67.1,A
6.6,85.3,69.9,A
20.7,85.8,96.5,A
24.5,82,100,A
14.5,73.7,80.4,A
22,85,92.2,A
17.5,83.1,83.6,A
10.5,91.8,78.8,A
17.5,82.9,93.2,A
25.8,82.6,100,A
14.7,70.6,84.5,A
26,88.5,100,A
0,86.4,47.4,A
20.8,81.6,97.5,A
15.6,90.1,90.8,A
12.9,80.4,87.7,A
15.6,100,91.7,A
1.1,81.4,54.6,A
13.5,69.7,81,A
17.5,64.4,79.5,A
25.3,85,100,A
11.4,83.4,62.3,A
9.3,69.7,64.9,A
11.5,84.1,93.3,A
21.4,100,100,A
17.3,64.7,98.4,A
11.3,80.9,69.2,A
18.6,80.6,93.9,A
15.7,74.6,100,A
21.8,92.7,100,A
10.1,78.4,79.7,A
12.7,95.9,86.6,A
12.3,70.9,72,A
4.8,79.9,73.6,A
17.1,76.7,67.3,A
16.8,95.7,73.1,A
15,80.7,100,A
13.4,91.1,63.9,A
5.1,62.6,72.9,A
12.1,94.3,73.4,A
12.6,73.3,68.1,A
9.4,72.5,86.1,A
13.9,91.9,83,A
17.8,74.7,77.7,A
28.2,97.9,100,A
16.2,100,93.6,A
16.8,81.5,100,A
14.5,82.3,100,A
1.6,97,43.5,A
14.8,75.1,93.8,A
15.4,96.3,78.9,A
32.2,84.4,100,A
13.7,93.3,84.2,A
17.1,77.8,100,A
14.8,97.8,100,A
6.8,70.7,73.2,A
23,99.6,100,A
20.3,96.1,95.4,A
20.5,79.3,92.1,A
8.6,88.4,76.7,A
24.8,80,100,A
5.2,87.7,74.1,A
19.1,79.9,74.2,A
30.3,75.7,100,A
8.1,88.9,74,A
11,87,72.6,A
15.7,84.9,74.8,A
11.5,83.8,54.7,A
4.1,92.4,50.6,A
15.5,80.1,86.8,A
7.6,77.9,92.6,A
18.3,97.3,97.3,A
8.6,80.4,70.6,A
25.8,77.7,100,A
9.5,79.3,81.9,A
12.7,78.3,78.7,A
20.7,100,100,A
6.4,84.1,54.8,A
16.6,70.8,95,A
24.1,86.1,100,A
3.7,71.7,58.2,A
16.3,100,87.9,A
16.8,100,86.2,A
20.5,94.3,86.1,A
6.3,89.3,58.9,A
5.8,69.8,62.3,A
18.7,92.8,100,A
17.1,82.5,83.5,A
16.8,74.8,90.2,A
17.4,70,94.4,A
10.2,88.5,85.4,A
16.6,81.2,100,A
17.1,76.4,100,A
10,90.3,92.4,A
28.1,100,100,A
18.3,97,79.6,A
6.7,89.3,54.8,A
19.6,78.5,93.2,A
8.2,93.6,72,A
20.5,96.7,95.8,A
23.1,93.9,100,A
9.3,97,75.8,A
21.7,74,97.4,A
17.9,78.1,100,A
20.8,77.4,100,A
28.3,87.7,100,A
13.3,83.4,72.2,A
9.7,80.5,72.9,A
8.8,95,63.2,A
9.3,88.5,66.2,A
14.5,79.3,75.6,A
17.4,93.7,100,A
16.9,84,75.5,A
20.8,82,89.5,A
15.1,63.3,89.2,A
25.2,88,100,A
13.1,79.1,92.9,A
34,100,100,A
19.4,94.8,100,A
9,97.2,84.7,A
7.5,85.6,80.1,A
18.4,100,100,A
13.4,100,75.9,A
20,84.5,100,A
18.3,89.6,96.5,A
14.5,81.9,97.2,A
9.1,85.6,58.2,A
4.4,86.9,52.2,A
11.9,92.4,70.1,A
21,79.3,100,A
16.5,100,89,A
6.3,75.7,44.1,A
16.2,81.8,80.5,A
17.7,89,92.5,A
8.8,93.2,65.4,A
16.1,82.7,93.9,A
15.4,68.2,99.8,A
7,78.7,53.2,A
17.5,96.8,85.9,A
18.9,82.4,100,A
22.6,80.2,100,A
22.4,77.5,99.4,A
5.4,78.4,63,A
8.4,87.1,70.2,A
18.6,98.2,90.5,A
18.6,93.9,83.7,A
18.6,89,98.1,A
40,68.1,100,A
19,88,95.5,A
22.9,79.5,100,A
21.7,98.3,100,A
19.6,82.6,90.2,A
12.8,89.1,87.9,A
20.3,81.4,100,A
9.6,82.6,83,A
13.3,80.9,97.4,A
11.6,71.3,70.6,A
15.6,85.3,83.7,A
31.2,95.1,100,A
1.9,78.8,46.4,A
19.8,83,100,A
3.7,100,63.1,A
11.7,90.1,87.4,A
22.6,73.5,100,A
15.4,97.2,65.7,A
7.5,76.3,54.2,A
10,65.7,69.5,A
19.8,84.4,100,A
9.9,94.1,79,A
16.5,99.4,100,A
15.3,76.5,81.5,A
10.4,95.9,85.8,A
30,81.2,100,A
19.4,83.3,100,A
0.8,91,53,A
16.3,70.2,96,A
10.4,85.9,81.2,A
21,96.9,100,A
9.5,81.8,55,A
14.2,87.3,81.5,A
18.5,86.9,72.7,A
21.1,88.6,100,A
6.6,96.5,55.6,A
12.7,77.4,91.1,A
11.7,89.4,80,A
10.4,79.9,71.4,A
27.4,97.6,100,A
17.8,78.1,89.5,A
6.2,83.9,74.7,A
21.4,88.4,100,A
29.9,90.6,100,A
22.2,90.5,94.1,A
4.4,83.1,38.9,A
11.6,81.8,69.5,A
23.9,68.3,100,A
10,85,60.4,A
18.1,74.1,98.1,A
20.4,85.1,100,A
8.5,78.2,77.7,A
14.6,66.7,81.2,A
0,100,57.8,A
7.8,76.7,63.8,A
13.2,74,69.4,A
6.3,89.9,68.7,A
26.4,74,100,A
5,83.2,57.2,A
11.9,75.7,69.3,A
15.9,79.9,83.5,A
25.1,83.8,100,A
4.9,91.8,69.7,A
23.1,96.6,100,A
15.1,72.9,90.1,A
8.1,81.6,78.1,A
18.2,72.6,100,A
16.4,82.9,76.2,A
10.8,77.5,69.6,A
15.5,74.9,77.6,A
12.3,74.2,82.4,A
15.8,74.8,89.1,A
19.6,88.3,100,A
