attendance_percentage,class
95.6,A
80,A
86.3,A
70.2,A
81.9,A
65.1,A
81.8,A
100,A
100,A
67.6,A
82.3,A
75.9,A
77.9,A
92.1,A
90.7,A
87.4,A
85.9,A
74,A
100,A
91.4,A
89.3,A
93.5,A
100,A
74.2,A
96.1,A
81.1,A
73.6,A
83.9,A
86.2,A
75,A
76.6,A
89.2,A
68.4,A
93,A
85.2,A
86.4,A
86.8,A
92.9,A
93.4,A
76.5,A
85.6,A
84.2,A
76.5,A
78.7,A
100,A
83.4,A
89.5,A
85.9,A
79.9,A
77.5,A
93.8,A
84.6,A
90.3,A
77.7,A
80.2,A
84.1,A
81.4,A
83.7,A
99,A
94.7,A
80.9,A
89.6,A
68.3,A
85.3,A
85.8,A
82,A
73.7,A
85,A
83.1,A
91.8,A
82.9,A
82.6,A
70.6,A
88.5,A
86.4,A
81.6,A
90.1,A
80.4,A
100,A
81.4,A
69.7,A
64.4,A
85,A
83.4,A
69.7,A
84.1,A
100,A
64.7,A
80.9,A
80.6,A
74.6,A
92.7,A
78.4,A
95.9,A
70.9,A
79.9,A
76.7,A
95.7,A
80.7,A
91.1,A
62.6,A
94.3,A
73.3,A
72.5,A
91.9,A
74.7,A
97.9,A
100,A
81.5,A
82.3,A
97,A
75.1,A
96.3,A
84.4,A
93.3,A
77.8,A
97.8,A
70.7,A
99.6,A
96.1,A
79.3,A
88.4,A
80,A
87.7,A
79.9,A
75.7,A
88.9,A
87,A
84.9,A
83.8,A
92.4,A
80.1,A
77.9,A
97.3,A
80.4,A
77.7,A
79.3,A
78.3,A
100,A
84.1,A
70.8,A
86.1,A
71.7,A
100,A
100,A
94.3,A
89.3,A
69.8,A
92.8,A
82.5,A
74.8,A
70,A
88.5,A
81.2,A
76.4,A
90.3,A
100,A
97,A
89.3,A
78.5,A
93.6,A
96.7,A
93.9,A
97,A
74,A
78.1,A
77.4,A
87.7,A
83.4,A
80.5,A
95,A
88.5,A
79.3,A
93.7,A
84,A
82,A
63.3,A
88,A
79.1,A
100,A
94.8,A
97.2,A
85.6,A
100,A
100,A
84.5,A
89.6,A
81.9,A
85.6,A
86.9,A
92.4,A
79.3,A
100,A
75.7,A
81.8,A
89,A
93.2,A
82.7,A
68.2,A
78.7,A
96.8,A
82.4,A
80.2,A
77.5,A
78.4,A
87.1,A
98.2,A
93.9,A
89,A
68.1,A
88,A
79.5,A
98.3,A
82.6,A
89.1,A
81.4,A
82.6,A
80.9,A
71.3,A
85.3,A
95.1,A
78.8,A
83,A
100,A
90.1,A
73.5,A
97.2,A
76.3,A
65.7,A
84.4,A
94.1,A
99.4,A
76.5,A
95.9,A
81.2,A
83.3,A
91,A
70.2,A
85.9,A
96.9,A
81.8,A
87.3,A
86.9,A
88.6,A
96.5,A
77.4,A
89.4,A
79.9,A
97.6,A
78.1,A
83.9,A
88.4,A
90.6,A
90.5,A
83.1,A
81.8,A
68.3,A
85,A
74.1,A
85.1,A
78.2,A
66.7,A
100,A
76.7,A
74,A
89.9,A
74,A
83.2,A
75.7,A
79.9,A
83.8,A
91.8,A
96.6,A
72.9,A
81.6,A
72.6,A
82.9,A
77.5,A
74.9,A
74.2,A
74.8,A
88.3,A
100,A
76.6,A
81.2,A
82.9,A
88.5,A
80.3,A
92.4,A
83.8,A
92.2,A
89.6,A
88.2,A
76.2,A
92,A
90,A
100,A
77.6,A
84.6,A
93.6,A
89.2,A
90.4,A
70.6,A
91.1,A
97.7,A
73.4,A
86.1,A
80.5,A
87.2,A
97.7,A
73.9,A
85.4,A
84.2,A
88.8,A
80.4,A
100,A
73.4,A
97.7,A
85.2,A
73.8,A
85.1,A
74.7,A
70.9,A
100,A
90.2,A
86,A
81.6,A
93.7,A
87.7,A
80.3,A
100,A
87.3,A
75.8,A
78.2,A
88.8,A
98.7,A
88.3,A
94.1,A
78.4,A
88.1,A
83.7,A
74.9,A
94.9,A
78.1,A
97.9,A
100,A
91,A
79.5,A
72,A
80,A
85.4,A
85.3,A
73.6,A
65.4,A
87.1,A
94.8,A
90.4,A
92.5,A
90.4,A
82.3,A
100,A
65.4,A
88.1,A
82.1,A
80,A
97.8,A
89.5,A
99.6,A
91.3,A
94.4,A
88.4,A
97.3,A
100,A
97.8,A
99.7,A
89.8,A
80.3,A
94.9,A
64.4,A
81.7,A
68.2,A
87,A
100,A
76.4,A
96.9,A
76,A
76.8,A
77.2,A
85.5,A
70.7,A
84.9,A
92.8,A
88,A
80.3,A
90.6,A
92.7,A
86.6,A
85.5,A
100,A
87.9,A
85.8,A
88.7,A
91.7,A
82.9,A
73.2,A
67.1,A
87.5,A
76.5,A
90,A
87.8,A
83.3,A
83.1,A
77.5,A
70.1,A
91.6,A
94.2,A
79.2,A
90.1,A
66.9,A
98.2,A
91.3,A
83,A
75.8,A
100,A
91,A
93.6,A
85.1,A
100,A
82.9,A
88,A
90.2,A
89,A
93.6,A
80.1,A
95.1,A
91.8,A
90.4,A
97,A
78.2,A
81,A
90.2,A
95.8,A
89.4,A
97.7,A
89.5,A
81,A
84,A
95.8,A
95.8,A
61.6,A
92.6,A
80.6,A
99.4,A
94.1,A
92.8,A
88.3,A
83.4,A
89.2,A
76.4,A
99.9,A
70.1,A
100,A
100,A
78.7,A
81.9,A
96.6,A
72.7,A
89.4,A
97.7,A
96.7,A
82.8,A
97.2,A
88.1,A
98.7,A
77.8,A
79,A
94.1,A
98.3,A
77.7,A
89.4,A
80.7,A
78,A
88.3,A
84.5,A
79.7,A
74.5,A
52.5,A
84.7,A
72.8,A
82.5,A
96.7,A
78.1,A
70.6,A
90.3,A
88.9,A
83.2,A
81.4,A
87,A
87.4,A
74.2,A
99.4,A
78.6,A
67.6,A
82.7,A
73.6,A
98.6,A
83.9,A
92.6,A
94.6,A
87.1,A
100,A
91.1,A
85.4,A
88.3,A
76.1,A
75.4,A
93.7,A
85.4,A
94.4,A
98.4,A
90.4,A
98.8,A
60.2,A
85.9,A
85.1,A
