attendance_percentage,total_score
95.6,97.9
80,83.9
86.3,100
70.2,100
81.9,92
65.1,97.5
81.8,100
100,96.1
100,69.8
67.6,80.3
82.3,66.4
75.9,72.5
77.9,95.2
92.1,60.9
90.7,52.1
87.4,73.5
85.9,63
74,100
100,75.4
91.4,57.9
89.3,100
93.5,79
100,76.3
74.2,58.7
96.1,68.3
81.1,97.2
73.6,68.4
83.9,100
86.2,63.6
75,89.2
76.6,77.4
89.2,100
68.4,82.6
93,71.9
85.2,97.4
86.4,61.6
86.8,99.5
92.9,50.1
93.4,56.7
76.5,84
85.6,100
84.2,100
76.5,63.6
78.7,100
100,55.9
83.4,89.6
89.5,78.7
85.9,90.3
79.9,71
77.5,51.1
93.8,82.7
84.6,91
90.3,92.7
77.7,100
80.2,100
84.1,100
81.4,76.9
83.7,91.9
99,89.5
94.7,100
80.9,71.2
89.6,81.9
68.3,67.1
85.3,69.9
85.8,96.5
82,100
73.7,80.4
85,92.2
83.1,83.6
91.8,78.8
82.9,93.2
82.6,100
70.6,84.5
88.5,100
86.4,47.4
81.6,97.5
90.1,90.8
80.4,87.7
100,91.7
81.4,54.6
69.7,81
64.4,79.5
85,100
83.4,62.3
69.7,64.9
84.1,93.3
100,100
64.7,98.4
80.9,69.2
80.6,93.9
74.6,100
92.7,100
78.4,79.7
95.9,86.6
70.9,72
79.9,73.6
76.7,67.3
95.7,73.1
80.7,100
91.1,63.9
62.6,72.9
94.3,73.4
73.3,68.1
72.5,86.1
91.9,83
74.7,77.7
97.9,100
100,93.6
81.5,100
82.3,100
97,43.5
75.1,93.8
96.3,78.9
84.4,100
93.3,84.2
77.8,100
97.8,100
70.7,73.2
99.6,100
96.1,95.4
79.3,92.1
88.4,76.7
80,100
87.7,74.1
79.9,74.2
75.7,100
88.9,74
87,72.6
84.9,74.8
83.8,54.7
92.4,50.6
80.1,86.8
77.9,92.6
97.3,97.3
80.4,70.6
77.7,100
79.3,81.9
78.3,78.7
100,100
84.1,54.8
70.8,95
86.1,100
71.7,58.2
100,87.9
100,86.2
94.3,86.1
89.3,58.9
69.8,62.3
92.8,100
82.5,83.5
74.8,90.2
70,94.4
88.5,85.4
81.2,100
76.4,100
90.3,92.4
100,100
97,79.6
89.3,54.8
78.5,93.2
93.6,72
96.7,95.8
93.9,100
97,75.8
74,97.4
78.1,100
77.4,100
87.7,100
83.4,72.2
80.5,72.9
95,63.2
88.5,66.2
79.3,75.6
93.7,100
84,75.5
82,89.5
63.3,89.2
88,100
79.1,92.9
100,100
94.8,100
97.2,84.7
85.6,80.1
100,100
100,75.9
84.5,100
89.6,96.5
81.9,97.2
85.6,58.2
86.9,52.2
92.4,70.1
79.3,100
100,89
75.7,44.1
81.8,80.5
89,92.5
93.2,65.4
82.7,93.9
68.2,99.8
78.7,53.2
96.8,85.9
82.4,100
80.2,100
77.5,99.4
78.4,63
87.1,70.2
98.2,90.5
93.9,83.7
89,98.1
68.1,100
88,95.5
79.5,100
98.3,100
82.6,90.2
89.1,87.9
81.4,100
82.6,83
80.9,97.4
71.3,70.6
85.3,83.7
95.1,100
78.8,46.4
83,100
100,63.1
90.1,87.4
73.5,100
97.2,65.7
76.3,54.2
65.7,69.5
84.4,100
94.1,79
99.4,100
76.5,81.5
95.9,85.8
81.2,100
83.3,100
91,53
70.2,96
85.9,81.2
96.9,100
81.8,55
87.3,81.5
86.9,72.7
88.6,100
96.5,55.6
77.4,91.1
89.4,80
79.9,71.4
97.6,100
78.1,89.5
83.9,74.7
88.4,100
90.6,100
90.5,94.1
83.1,38.9
81.8,69.5
68.3,100
85,60.4
74.1,98.1
85.1,100
78.2,77.7
66.7,81.2
100,57.8
76.7,63.8
74,69.4
89.9,68.7
74,100
83.2,57.2
75.7,69.3
79.9,83.5
83.8,100
91.8,69.7
96.6,100
72.9,90.1
81.6,78.1
72.6,100
82.9,76.2
77.5,69.6
74.9,77.6
74.2,82.4
74.8,89.1
88.3,100
100,100
76.6,43.9
81.2,100
82.9,54.5
88.5,62.1
80.3,100
92.4,85.6
83.8,80.8
92.2,92.4
89.6,71.6
88.2,74.5
76.2,87.5
92,89.9
90,80.4
100,94.9
77.6,92.6
84.6,95.8
93.6,100
89.2,62.9
90.4,81.1
70.6,100
91.1,100
97.7,87.6
73.4,88.1
86.1,100
80.5,77.1
87.2,80
97.7,100
73.9,90.6
85.4,95.9
84.2,99.6
88.8,100
80.4,100
100,82.2
73.4,100
97.7,79.8
85.2,94.6
73.8,84.1
85.1,85.3
74.7,87.2
70.9,80.3
100,100
90.2,71.6
86,75.5
81.6,98.6
93.7,100
87.7,100
80.3,97.9
100,90.5
87.3,41.3
75.8,93.3
78.2,81.3
88.8,100
98.7,97.8
88.3,56.7
94.1,81.2
78.4,99.9
88.1,94.6
83.7,72.9
74.9,80.6
94.9,97
78.1,89.4
97.9,79.7
100,100
91,59
79.5,56.9
72,79.9
80,91.5
85.4,100
85.3,100
73.6,87.3
65.4,87.4
87.1,88.3
94.8,68.8
90.4,94.7
92.5,76.4
90.4,100
82.3,72.1
100,83.7
65.4,100
88.1,85.1
82.1,89.5
80,95.4
97.8,82.5
89.5,77.5
99.6,89.9
91.3,93.3
94.4,80
88.4,96.4
97.3,95
100,100
97.8,100
99.7,100
89.8,82.4
80.3,92.2
94.9,100
64.4,100
81.7,60.4
68.2,76.5
87,88.7
100,33.8
76.4,67.3
96.9,87.6
76,92.1
76.8,85.4
77.2,100
85.5,100
70.7,97.6
84.9,54.1
92.8,85.8
88,63.1
80.3,100
90.6,100
92.7,89.6
86.6,58.6
85.5,100
100,81.5
87.9,100
85.8,67.2
88.7,67.8
91.7,87.4
82.9,90.2
73.2,64.9
67.1,88.6
87.5,81.3
76.5,88.5
90,85.6
87.8,91.5
83.3,100
83.1,66.4
77.5,54.3
70.1,100
91.6,89.6
94.2,89.2
79.2,100
90.1,96.3
66.9,100
98.2,90.5
91.3,100
83,100
75.8,71.4
100,89.8
91,81.8
93.6,100
85.1,74.1
100,100
82.9,96.4
88,47
90.2,46.4
89,54.4
93.6,76
80.1,97.8
95.1,100
91.8,92.8
90.4,100
97,78.9
78.2,74
81,75.3
90.2,88.4
95.8,81
89.4,45.8
97.7,80.3
89.5,69.6
81,98.2
84,100
95.8,89.5
95.8,66.9
61.6,80.3
92.6,67.3
80.6,100
99.4,78.7
94.1,86.2
92.8,71.9
88.3,49.3
83.4,93.4
89.2,55
76.4,79.6
99.9,51.9
70.1,100
100,94
100,96.2
78.7,77.5
81.9,85.2
96.6,99.2
72.7,92.8
89.4,100
97.7,72.3
96.7,65.7
82.8,66
97.2,60
88.1,63.6
98.7,100
77.8,100
79,82.1
94.1,83.4
98.3,97.2
77.7,100
89.4,100
80.7,80.2
78,78.5
88.3,67.7
84.5,75.5
79.7,74
74.5,68.5
52.5,66.9
84.7,87.8
72.8,100
82.5,100
96.7,88.1
78.1,100
70.6,100
90.3,85.5
88.9,100
83.2,100
81.4,72.8
87,100
87.4,63.5
74.2,72.7
99.4,100
78.6,100
67.6,69.7
82.7,95.4
73.6,56.8
98.6,75.2
83.9,72.6
92.6,64.6
94.6,72.6
87.1,80.7
100,89.4
91.1,91.1
85.4,92.8
88.3,63.2
76.1,80.9
75.4,94.3
93.7,92.6
85.4,65.8
94.4,96.1
98.4,100
90.4,66.1
98.8,90.7
60.2,63.3
85.9,100
85.1,63.5
77.1,79.1
86.1,63.9
76.4,88.2
91,79.1
83.1,70.6
77.4,99.3
90.9,55.1
100,81.3
81.6,43
83.7,89
88.2,78.5
82.4,77.6
86.8,92
74,100
73.6,73.2
81.3,96.5
81.6,62.1
87.9,86.1
90.6,100
75.7,37.8
84.1,65.3
80.5,79.8
94.1,100
74.9,89.2
94.3,79.8
90.9,100
86.3,87
82.3,98.9
78.2,98.6
75.7,100
100,86.5
89.1,76.3
80.6,82.8
73.9,100
67.1,100
79.1,100
94.1,100
79.6,72.2
76.7,87.8
84.8,100
80.1,100
94,63.1
68,61.8
97.1,58.9
88.3,76.3
100,100
76,100
76.1,99.4
79.3,89
77.4,83.8
82.6,61.9
75.8,80.1
100,95.8
75.5,58.1
93,100
92.8,86
75.1,86.8
89.4,100
100,100
74.3,99.9
79,84.2
89.6,80.9
80.8,72
80.6,100
85.2,65.3
81.6,93.7
77.2,67.8
79.1,91.3
98.2,84.9
91.5,99.3
87,67.3
63.1,99.9
84.5,74.1
65.9,100
93.8,91.4
69.7,89.6
81.2,76.3
99.7,100
80.9,100
80.6,100
97.7,100
83.5,77.4
78.5,52.3
94,51.9
80.4,100
75.5,100
72.6,74.7
93.8,99.1
100,70.6
78.9,100
90.2,97.6
92.5,96.7
79,100
100,98.9
91.6,93.2
79.8,73.6
89,89.7
78.6,100
92.7,100
77.9,100
90.2,91.1
77.5,71.1
85,69.3
82.3,80.9
89.6,100
86.8,66.2
94.9,100
80,89.4
92.4,78.3
71.9,67.3
77.7,69.2
87.1,100
100,89.9
91.7,49.8
74.6,82.7
100,82.1
100,100
85.6,94.7
73.1,65.7
70.8,74
90.4,83.8
80.5,44.5
91.4,90
91.3,86.9
94.1,93.6
74.4,100
89.2,100
75.2,75.9
100,78.6
85.3,100
76.3,97.4
77.8,94.8
89,93.2
86.7,92.2
85.6,75.2
84.3,73.4
79.6,81
89.5,98.8
93.5,86.1
75.6,84.2
93.5,78.1
100,84.4
81.7,100
86.4,34.5
83.7,100
84.7,97.7
82,51.8
77.7,81.9
90,87.5
88.4,70.5
78,76.2
81.4,74.6
88.2,100
81.2,100
74.2,100
82.8,100
91.7,83.2
90.3,94.8
90.2,100
69.1,51.6
84.5,100
57.2,95.1
78.5,76.5
84.6,100
75.7,100
64,68.5
80.8,100
100,66.7
97,96.8
84.3,100
94,100
75.5,100
82.5,70.2
71.9,100
100,71.1
100,75.4
78.9,96.1
94.6,87
81,62.9
68.5,71.4
100,100
62.4,75.6
89.8,100
91.7,50.5
74.4,100
88.5,77.2
93.9,93.7
89.9,61.4
82.3,98.9
91.2,89.5
79.3,100
100,100
100,97.3
82.9,78.4
81.4,81.8
99.6,87.4
91.5,46.6
68.4,71.2
95.3,100
71.3,86.1
69.9,99.6
92.9,100
64.5,83.7
98.2,81
96,80.7
91.7,80.7
93.2,81.6
80.8,80.8
88.7,48.3
91.4,99.5
88.2,98.8
95.6,74.4
86.5,100
60,100
94.4,93.4
70.4,67
71.4,92.3
70.8,82.2
80.8,77.4
88.3,97.9
75,84
64.5,85.2
85.6,76.2
100,70.9
87.8,62.5
82.2,77.6
64.4,76
93.4,84.5
77.3,100
79.1,83
78.4,100
80.7,94.7
69.5,91.8
96.7,62
81.7,100
92.9,72.6
80.6,98.1
100,100
88,97.8
89.2,100
63.8,67.8
86.9,85
82,100
76.3,77.6
73.8,100
78.6,100
83.8,78.9
81.4,100
88.7,88.1
78.6,85.6
92.1,74.8
95.3,70.7
91.1,71.3
86.2,100
83.8,100
93.9,86.9
91.7,80.2
84.4,98.3
80.6,100
89,79.8
84.4,100
88.2,100
78.9,93.4
75,88.4
91.5,58
69.9,100
95.8,93.5
90.6,95.4
94.1,74.6
97.7,73.7
86.4,100
82.6,97.2
73.6,80.1
81.7,90.1
72.5,100
73.2,89.3
74.1,80.6
93,100
83.6,68.5
86.6,75.6
77.6,100
72.1,97.5
79.2,84.5
100,93.9
90.1,74.1
95.7,77.1
85.8,74.8
84.2,100
85.6,96.1
57.4,100
